
Collection_Time,COLLECTION TIME,COLLECTION TIME
Device_IP,DEVICE ID,DEVICE ID
Device_Type,DEVICE NAME,DEVICE NAME
Measuring_Object,MEASURING OBJECT,MEASURING OBJECT

#Board,,
cpuLoad,CPU Usage(%),CPU Usage(%)
memUsage,Memory Usage(%),Memory Usage(%)

#ADSL Port,,
adslAtucPerfLofs,ATU-C LOFs,ATU-C LOFs
adslAturPerfLofs,ATU-R LOFs,ATU-R LOFs
adslAtucPerfLoss,ATU-C LOSs,ATU-C LOSs
adslAturPerfLoss,ATU-R LOSs,ATU-R LOSs
adslAtucPerfLols,ATU-C LOLs,ATU-C LOLs
adslAtucPerfLprs,ATU-C LPRs,ATU-C LPRs
adslAturPerfLprs,ATU-R LPRs,ATU-R LPRs
adslAtucPerfInits,ATU-C Line Initialization Attempts,ATU-C Line Initialization Attempts
adslAtucChanReceivedBlks,ATU-C Rx Encoded Blocks,ATU-C Rx Encoded Blocks
adslAturChanReceivedBlks,ATU-R Rx Encoded Blocks,ATU-R Rx Encoded Blocks
adslAtucChanTransmittedBlks,ATU-C Tx Encoded Blocks,ATU-C Tx Encoded Blocks
adslAturChanTransmittedBlks,ATU-R Rx Encoded Blocks,ATU-R Rx Encoded Blocks
adslAtucChanCorrectedBlks,ATU-C Rx Blocks with Correctable Errors,ATU-C Rx Blocks with Correctable Errors
adslAturChanCorrectedBlks,ATU-R Rx Corrected Blocks,ATU-R Rx Corrected Blocks
adslAtucChanUncorrectBlks,ATU-C Rx Uncorrected Blocks,ATU-C Rx Uncorrected Blocks
adslAturChanUncorrectBlks,ATU-R Rx Uncorrected Blocks,ATU-R Rx Uncorrected Blocks
adslAtucPerfESs,ATU-C Ess,ATU-C Ess
adslAturPerfESs,ATU-R Ess,ATU-R Ess

adslAturCurrSnrMgn,ATU-R SNR Margin(0.1dB),ATU-R SNR Margin(0.1dB)
adslAtucCurrSnrMgn,ATU-C SNR Margin(0.1dB),ATU-C SNR Margin(0.1dB)
adslAturCurrAtn,ATU-R Attenuation(0.1dB),ATU-R Attenuation(0.1dB)
adslAtucCurrAtn,ATU-C Attenuation(0.1dB),ATU-C Attenuation(0.1dB)
adslAturCurrAttainableRate,ATU-R Attainable Rate(kbps),ATU-R Attainable Rate(kbps)
adslAtucCurrAttainableRate,ATU-C Attainable Rate(kbps),ATU-C Attainable Rate(kbps)
adslAturCurrOutputPwr,ATU-R Output Power(0.1dBm),ATU-R Output Power(0.1dBm)
adslAtucCurrOutputPwr,ATU-C Output Power(0.1dBm),ATU-C Output Power(0.1dBm)

adslAtucPerfStatFastR,ATU-C Fast Retrain Times,ATU-C Fast Retrain Times
adslAtucPerfStatFailedFastR,ATU-C Failed Fast Retrains,ATU-C Failed Fast Retrains
adslAtucPerfStatSesL,ATU-C SESs,ATU-C SESs
adslAturPerfStatSesL,ATU-R SESs,ATU-R SESs
adslAtucPerfStatUasL,ATU-C UASs,ATU-C UASs
adslAturPerfStatUasL,ATU-R UASs,ATU-R UASs
adslAturChanCurrTxRate,Upstream Rate(kbps),Upstream Rate(kbps)
adslAtucChanCurrTxRate,Downstream Rate(kbps),Downstream Rate(kbps)


#VDSL Port,,
dsl2LnCh1DsDataRateConfPrf,DownStream Data Rate Profile,DownStream Data Rate Profile
dsl2LnCh1UsDataRateConfPrf,Upstream Data Rate Profile,Upstream Data Rate Profile
zxAnXdsl2LnSpectrumConfPrf,Line Spectrum Profile,Line Spectrum Profile
zxAnXdsl2LnStatusAttainRateDs,Attainable Bitrate Downstream(kbps),Attainable Bitrate Downstream(kbps)
zxAnXdsl2LnStatusAttainRateUs,Attainable Bitrate Upstream(kbps),Attainable Bitrate Upstream(kbps)
zxAnXdsl2LnStatusActAtpDs,Output Power Downstream(dBm),Output Power Downstream(dBm)
