Collection_Time,Time stamp,Time stamp
Device_Name,DSLAM id,DSLAM id
Device_IP,DSLAM IP address,DSLAM IP address
Device_Type,DSLAM type,DSLAM type
Measuring_Object,Measuring Object,Measuring Object
VlanId,VLAN ID,VLAN ID
Port_Id,Port id,Portid
RackShelfSlotPort,Port id,Port id
TrunkId,LAG-ID,LAG-ID

ifAlias,Customer id,Customer id
ADSL_Profile,ADSL profile,ADSL profile
Service_Profile,Service profile,Service profile

Bord_Type,Board type,Board type
TransSysEna_Vector_Confmode,Vectoring profile,Vectoring profile
ActualCPEVectoringStatus,Actual CPE vectoring status,Actual CPE vectoring status
Yes,Yes,Yes
No,No,No
Enabled,Enabled,Enabled
Disabled,Disabled,Disabled
vector_disabled,vectoring disabled,vectoring disabled
vector_enabled,vectoring enabled,vectoring enabled

ifHCOutOctets,Transmitted Octets (Byte),Transmitted Octets (Byte)
ifHCInOctets,Received Octets (Byte),Received Octets (Byte)
ifHCOutUcastPkts,Transmitted Unicast Packets,Transmitted Unicast Packets
ifHCInUcastPkts,Received Unicast Packets,Received Unicast Packets
ifHCOutMulticastPkts,Transmitted Multicast Packets,Transmitted Multicast Packets
ifHCInMulticastPkts,Received Multicast Packets,Received Multicast Packets
ifHCOutBroadcastPkts,Transmitted Broadcast Packets,Transmitted Broadcast Packets
ifHCInBroadcastPkts,Received Broadcast Packets,Received Broadcast Packets
zxAnEtherIfOutDiscardPktRatio,Transmitted Discard Packets Ratio (%),Transmitted Discard Packets Ratio (%)
zxAnEtherIfInDiscardPktRatio,Received Discard Packets Ratio (%),Received Discard Packets Ratio (%)
zxAnEtherIfInErrPktRatio,Received Error Packets Ratio (%),Received Error Packets Ratio (%)
zxAnEtherIfStatOutDiscardPkt,Transmitted Discard Packets,Transmitted Discard Packets
zxAnEtherIfStatInDiscardPkt,Received Discard Packets,Received Discard Packets
zxAnEtherIfInOctetsError,Received Error Packets,Received Error Packets
,,
zxDslTrunkingOutOctets,Transmitted Octets,Transmitted Octets
zxDslTrunkingInOctets,Received Octets,Received Octets
zxDslTrunkingOutUCastPkts,Transmitted Unicast Packets,Transmitted Unicast Packets
zxDslTrunkingInUCastPkts,Received Unicast Packets,Received Unicast Packets
zxDslTrunkingOutMulticastPkts,Transmitted Multicast Packets,Transmitted Multicast Packets
zxDslTrunkingInMulitcastPkts,Received Multicast Packets,Received Multicast Packets
zxDslTrunkingOutBroadcastPkts,Transmitted Broadcast Packets,Transmitted Broadcast Packets
zxDslTrunkingInBroadcastPkts,Received Broadcast Packets,Received Broadcast Packets
zxDslTrunkingOutDiscardRatio,Transmitted Discard Packet Ratio (%),Transmitted Discard Packet Ratio (%)
zxDslTrunkingInDiscardRatio,Received Discard Packet Ratio (%),Received Discard Packet Ratio (%)
zxDslTrunkingInErrorRatio,Received Packet Error Ratio (%),Received Packet Error Ratio (%)
zxDslTrunkingOutDiscards,Transmitted Discard Packets,Transmitted Discard Packets
zxDslTrunkingInDiscards,Received Discard Packets,Received Discard Packets
zxDslTrunkingInErrors,Received Error Packets,Received Error Packets
,,
ifHCOutOctets,Transmitted Octets (Byte),Transmitted Octets(Byte)
ifHCInOctets,Received Octets (Byte),Received Octets(Byte)
ifHCOutUcastPkts,Transmitted Unicast Packets,Transmitted Unicast Packets
ifHCInUcastPkts,Received Unicast Packets,Received Unicast Packets
ifHCOutMulticastPkts,Transmitted Multicast Packets,Transmitted Multicast Packets
ifHCInMulticastPkts,Received Multicast Packets,Received Multicast Packets
ifHCOutBroadcastPkts,Transmitted Broadcast Packets,Transmitted Broadcast Packets
ifHCInBroadcastPkts,Received Broadcast Packets,Received Broadcast Packets
zxAnEtherIfOutDiscardPktRatio,Transmitted Discard Packets Ratio (%),Transmitted Discard Packets Ratio (%)
zxAnEtherIfInDiscardPktRatio,Received Discard Packets Ratio (%),Received Discard Packets Ratio (%)
zxAnEtherIfInErrPktRatio,Received Error Packets Ratio (%),Received Error Packets Ratio (%)
zxAnEtherIfStatInDiscardPkt,Received Discard Packets,Received Discard Packets
zxAnEtherIfInOctetsError,Received Error Packets,Received Error Packets
dsl2LnCh1DsDataRateConfPrf,Downstream data rate profile,Downstream data rate profile
dsl2LnCh1UsDataRateConfPrf,Upstream data rate profile,Upstream data rate profile
